objectid,cdmid,title,format,thumb,images,source,date,creator,subjects,generalnote,sourceofdescription
special28,28,"News Release (April 11, 1965)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/01/83/00001/News_Release_Apr_11_1965thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/01/83/00001/News_Release_Apr_11_1965.pdf,http://ncf.sobek.ufl.edu/NCF0000183,"April 11, 1965",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special29,29,"News Release (April 11, 1965)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/01/84/00001/News_Release_Apr_11_1965_Toynbee_Farewellthm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/01/84/00001/News_Release_Apr_11_1965_Toynbee_Farewell.pdf,http://ncf.sobek.ufl.edu/NCF0000184,"April 11, 1965",New College of Florida,History;Planning;Records and correspondence,Three page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special30,30,"News Release (April 11, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/23/00001/News_Release_Apr_11_1967thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/23/00001/News_Release_Apr_11_1967.pdf,http://ncf.sobek.ufl.edu/NCF0000523,"April 11, 1967",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special31,31,"News Release (April 11, 1968)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/47/00001/News_Release_Apr_11_1968_Hometownthm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/47/00001/News_Release_Apr_11_1968_Hometown.pdf,http://ncf.sobek.ufl.edu/NCF0000747,"April 11, 1968",New College of Florida,History;Planning;Records and correspondence,One page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special32,32,"News Release (April 11, 1968)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/48/00001/News_Release_Apr_11_1968_News_Columnthm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/48/00001/News_Release_Apr_11_1968_News_Column.pdf,http://ncf.sobek.ufl.edu/NCF0000748,"April 11, 1968",New College of Florida,History;Planning;Records and correspondence,Three page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special33,33,"News Release (April 12, 1966)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/56/00001/News_Release_Apr_12_1966thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/56/00001/News_Release_Apr_12_1966.pdf,http://ncf.sobek.ufl.edu/NCF0000356,"April 12, 1966",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special34,34,"News Release (April 12, 1972)",application/pdf,http://ncf.sobek.ufl.edu/content/AA/00/02/58/42/00001/ESP402_001_002_00013thm.jpg,http://ncf.sobek.ufl.edu/content/AA/00/02/58/42/00001/ESP402_001_002_00013.pdf,http://ncf.sobek.ufl.edu/AA00025842,"April 12, 1972",New College of Florida,History;Environmental Studies Program;Planning,Three page news release.,
special35,35,"News Release (April 13, 1964)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/00/74/00001/News_Release_Apr_13_1964thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/00/74/00001/News_Release_Apr_13_1964.pdf,http://ncf.sobek.ufl.edu/NCF0000074,"April 13, 1964",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special36,36,"News Release (April 13, 1966)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/57/00001/News_Release_Apr_13_1966thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/03/57/00001/News_Release_Apr_13_1966.pdf,http://ncf.sobek.ufl.edu/NCF0000357,"April 13, 1966",New College of Florida,History;Planning;Records and correspondence,Three page news release. Includes Western Union telegram. ,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special37,37,"News Release (April 13, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/24/00001/News_Release_Apr_13_1967thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/24/00001/News_Release_Apr_13_1967.pdf,http://ncf.sobek.ufl.edu/NCF0000524,"April 13, 1967",New College of Florida,History;Planning;Records and correspondence,Three page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special38,38,"News Release (April 14, 1968)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/49/00001/News_Release_Apr_14_1968_Dialogsthm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/49/00001/News_Release_Apr_14_1968_Dialogs.pdf,http://ncf.sobek.ufl.edu/NCF0000749,"April 14, 1968",New College of Florida,History;Planning;Records and correspondence,Three page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special39,39,"News Release (April 15, 1965)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/01/85/00001/News_Release_Apr_15_1965thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/01/85/00001/News_Release_Apr_15_1965.pdf,http://ncf.sobek.ufl.edu/NCF0000185,"April 15, 1965",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special40,40,"News Release (April 16, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/25/00001/News_Release_Apr_16_1967thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/25/00001/News_Release_Apr_16_1967.pdf,http://ncf.sobek.ufl.edu/NCF0000525,"April 16, 1967",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special41,41,"News Release (April 16, 1968)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/50/00001/News_Release_Apr_16_1968_Stephanskythm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/50/00001/News_Release_Apr_16_1968_Stephansky.pdf,http://ncf.sobek.ufl.edu/NCF0000750,"April 16, 1968",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special42,42,"News Release (April 18, 1965)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/01/86/00001/News_Release_Apr_18_1965thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/01/86/00001/News_Release_Apr_18_1965.pdf,http://ncf.sobek.ufl.edu/NCF0000186,"April 18, 1965",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special43,43,"News Release (April 18, 1968)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/51/00001/News_Release_Apr_18_1968_News_Columnthm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/51/00001/News_Release_Apr_18_1968_News_Column.pdf,http://ncf.sobek.ufl.edu/NCF0000751,"April 18, 1968",New College of Florida,History;Planning;Records and correspondence,Three page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special44,44,"News Release (April 18, 1968)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/52/00001/News_Release_Apr_18_1968_Psychologythm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/52/00001/News_Release_Apr_18_1968_Psychology.pdf,http://ncf.sobek.ufl.edu/NCF0000752,"April 18, 1968",New College of Florida,History;Planning;Records and correspondence,One page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special45,45,"News Release (April 19, 1964)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/00/75/00001/News_Release_Apr_19_1964thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/00/75/00001/News_Release_Apr_19_1964.pdf,http://ncf.sobek.ufl.edu/NCF0000075,"April 19, 1964",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special46,46,"News Release (April 19, 1964)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/00/76/00001/News_Release_Apr_19_1964_Conferencethm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/00/76/00001/News_Release_Apr_19_1964_Conference.pdf,http://ncf.sobek.ufl.edu/NCF0000076,"April 19, 1964",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
