objectid,cdmid,title,format,thumb,images,source,date,creator,subjects,generalnote,sourceofdescription
special193,193,"News Release (February 16, 1964)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/00/95/00001/News_Release_Feb_16_1964thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/00/95/00001/News_Release_Feb_16_1964.pdf,http://ncf.sobek.ufl.edu/NCF0000095,"February 16, 1964",New College of Florida,History;Planning;Records and correspondence,Three page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special194,194,"News Release (February 16, 1964)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/00/96/00001/News_Release_Feb_16_1964_LaMottethm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/00/96/00001/News_Release_Feb_16_1964_LaMotte.pdf,http://ncf.sobek.ufl.edu/NCF0000096,"February 16, 1964",New College of Florida,History;Planning;Records and correspondence,Three page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special195,195,"News Release (February 16, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/61/00001/News_Release_Feb_16_1967thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/61/00001/News_Release_Feb_16_1967.pdf,http://ncf.sobek.ufl.edu/NCF0000561,"February 16, 1967",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special196,196,"News Release (February 16, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/62/00001/News_Release_Feb_16_1967_News_Columnthm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/62/00001/News_Release_Feb_16_1967_News_Column.pdf,http://ncf.sobek.ufl.edu/NCF0000562,"February 16, 1967",New College of Florida,History;Planning;Records and correspondence,Three page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special197,197,"News Release (February 16, 1968)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/79/00001/News_Release_Feb_16_1968_Fellowshipthm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/79/00001/News_Release_Feb_16_1968_Fellowship.pdf,http://ncf.sobek.ufl.edu/NCF0000779,"February 16, 1968",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special198,198,"News Release (February 16, 1968)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/80/00001/News_Release_Feb_16_1968_Math_Compititionthm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/07/80/00001/News_Release_Feb_16_1968_Math_Compitition.pdf,http://ncf.sobek.ufl.edu/NCF0000780,"February 16, 1968",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special199,199,"News Release (February 17, 1964)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/00/97/00001/News_Release_Feb_17_1964thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/00/97/00001/News_Release_Feb_17_1964.pdf,http://ncf.sobek.ufl.edu/NCF0000097,"February 17, 1964",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special200,200,"News Release (February 18, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/63/00001/News_Release_Feb_18_1967thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/63/00001/News_Release_Feb_18_1967.pdf,http://ncf.sobek.ufl.edu/NCF0000563,"February 18, 1967",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special201,201,"News Release (February 19, 1964)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/00/98/00001/News_Release_Feb_19_1964thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/00/98/00001/News_Release_Feb_19_1964.pdf,http://ncf.sobek.ufl.edu/NCF0000098,"February 19, 1964",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special202,202,News Release (February 1964),application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/01/00/00001/News_Release_Feb_1964_LaMottethm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/01/00/00001/News_Release_Feb_1964_LaMotte.pdf,http://ncf.sobek.ufl.edu/NCF0000100,February 1964,New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
