objectid,cdmid,title,format,thumb,images,source,date,creator
special566,566,"Scene, September 1972",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/14/55/00001/SF141.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/14/55/00001/SF141.jpg,http://ncf.sobek.ufl.edu/NCF0001455,1972,New College of Florida
special567,567,"Scenic, February 1989",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/24/00001/EC280.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/24/00001/EC280.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/24/00001/EC281.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/24/00001/EC283.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/24/00001/EC284.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/24/00001/EC287.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/24/00001/EC288.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/24/00001/EC289.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/24/00001/EC292.jpg,http://ncf.sobek.ufl.edu/NCF0001324,1989,New College of Florida
special568,568,"Scenic, January 1989",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/26/00001/EC286.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/26/00001/EC286.jpg,http://ncf.sobek.ufl.edu/NCF0001326,1989,New College of Florida
special569,569,"Scenic, March 1980",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/28/00001/EC293.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/28/00001/EC293.jpg,http://ncf.sobek.ufl.edu/NCF0001328,1980,New College of Florida
special570,570,"Scenic, November 1980",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/27/00001/EC291.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/27/00001/EC291.jpg,http://ncf.sobek.ufl.edu/NCF0001327,1980,New College of Florida
special571,571,"Scenic, November 1981",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/23/00001/EC279.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/23/00001/EC279.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/23/00001/EC285.jpg,http://ncf.sobek.ufl.edu/NCF0001323,1981,New College of Florida
special572,572,"Scenic Traffic, November 1981",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/25/00001/EC282.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/25/00001/EC282.jpg,http://ncf.sobek.ufl.edu/NCF0001325,1981,New College of Florida
special573,573,"Scenic, Undated",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/22/00001/EC278.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/22/00001/EC278.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/22/00001/EC290.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/22/00001/EC294.jpg,http://ncf.sobek.ufl.edu/NCF0001322,"undated, circa 1980s",New College of Florida
special574,574,"School Picnic by Pool, November 1976",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/15/06/00001/SF288.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/15/06/00001/SF288.jpg,http://ncf.sobek.ufl.edu/NCF0001506,1976,New College of Florida
special575,575,"School Picnic, November 1976",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/15/10/00001/SF292.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/15/10/00001/SF292.jpg,http://ncf.sobek.ufl.edu/NCF0001510,1976,New College of Florida
